TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2016,9,23,18.0,30.0,10XX QUEBEC ST,Central Business District,492586.94,5458039.39
Theft from Vehicle,2016,2,14,15.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,2,14,16.0,31.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Other Theft,2016,3,20,16.0,17.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Theft from Vehicle,2016,9,20,15.0,43.0,24XX MCBAIN AVE,Arbutus Ridge,488372.48,5455076.71
Other Theft,2016,6,26,17.0,2.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Theft from Vehicle,2016,2,22,10.0,10.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,6,15,19.0,8.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Theft from Vehicle,2016,6,15,14.0,58.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,1,23.0,16.0,WALES ST / E 41ST AVE,Victoria-Fraserview,496239.0,5453333.0
Other Theft,2016,5,14,13.0,26.0,10XX HAMILTON ST,Central Business District,491242.28,5458179.76
Theft from Vehicle,2016,11,18,17.0,0.0,24XX MCBAIN AVE,Arbutus Ridge,488306.66,5455037.64
Theft from Vehicle,2016,2,27,17.0,50.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,3,7,19.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,9,13,17.0,0.0,24XX MANITOBA ST,Mount Pleasant,492234.16,5456786.06
Theft from Vehicle,2016,3,15,20.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Other Theft,2016,3,25,15.0,30.0,6XX GRANVILLE ST,Central Business District,491444.61,5458895.1
Vehicle Collision or Pedestrian Struck (with Injury),2016,7,16,23.0,33.0,WATER ST / RICHARDS ST,Central Business District,491933.0,5459112.0
Theft from Vehicle,2016,3,18,11.0,30.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Other Theft,2016,3,10,17.0,23.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Theft from Vehicle,2016,3,27,17.0,9.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Other Theft,2016,3,14,15.0,3.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Other Theft,2016,3,19,12.0,48.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Theft from Vehicle,2016,5,7,12.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,5,11,13.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,5,22,16.0,13.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Other Theft,2016,4,6,19.0,14.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Vehicle Collision or Pedestrian Struck (with Injury),2016,5,29,7.0,19.0,WEST BLVD / W 41ST AVE,Kerrisdale,488676.0,5453545.0
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,7,7.0,53.0,WEST BLVD / W 41ST AVE,Kerrisdale,488676.0,5453545.0
Theft from Vehicle,2016,6,12,14.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,6,12,18.0,45.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,7,2,2.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft of Bicycle,2016,5,22,3.0,0.0,11XX DENMAN ST,West End,489804.68,5459512.69
Other Theft,2016,4,7,18.0,52.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Mischief,2016,8,9,22.0,0.0,5XX JERVIS ST,Central Business District,490887.98,5459618.36
Other Theft,2016,4,8,11.0,21.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Theft from Vehicle,2016,7,9,22.0,30.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Mischief,2016,11,29,2.0,29.0,5XX ABBOTT ST,Central Business District,492179.01,5458664.65
Break and Enter Residential/Other,2016,11,8,12.0,45.0,16XX E 57TH AVE,Victoria-Fraserview,494692.55,5451708.98
Mischief,2016,2,24,13.0,0.0,5XX HOWE ST,Central Business District,491572.98,5459167.21
Theft from Vehicle,2016,7,9,23.0,56.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Vehicle Collision or Pedestrian Struck (with Injury),2016,9,23,16.0,12.0,WILLOW ST / W BROADWAY AVE,Fairview,491136.0,5456735.0
Other Theft,2016,3,21,14.0,34.0,6XX GRANVILLE ST,Central Business District,491444.61,5458895.1
Theft from Vehicle,2016,7,13,18.0,20.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,7,20,9.0,42.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,10,17,12.0,40.0,6XX SEYMOUR ST,Central Business District,491520.65,5458826.42
Vehicle Collision or Pedestrian Struck (with Injury),2016,6,8,17.0,23.0,WILLOW ST / W KING EDWARD AVE,South Cambie,491097.0,5455166.0
Other Theft,2016,2,24,20.0,36.0,6XX GRANVILLE ST,Central Business District,491444.61,5458895.1
Other Theft,2016,2,12,13.0,15.0,10XX HAMILTON ST,Central Business District,491292.01,5458243.43
Theft from Vehicle,2016,9,1,21.0,30.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,8,9,21.0,0.0,24XX KINGSWAY AVE,Renfrew-Collingwood,495912.36,5454240.43
Theft from Vehicle,2016,9,10,16.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,27,14.0,12.0,WINDSOR ST / E 16TH AVE,Mount Pleasant,493916.0,5455961.0
Mischief,2016,11,1,16.0,25.0,5XX ALEXANDER ST,Strathcona,493235.57,5459025.08
Theft from Vehicle,2016,10,23,22.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,11,10,14.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Vehicle Collision or Pedestrian Struck (with Injury),2016,10,21,8.0,32.0,WOLFE AVE / W 16TH AVE,Shaughnessy,490409.0,5456046.0
Theft from Vehicle,2016,11,14,19.0,30.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,23,10.0,56.0,WOODLAND DR / ADANAC ST,Grandview-Woodland,494708.0,5458319.0
Mischief,2016,8,3,2.0,52.0,5XX ABBOTT ST,Central Business District,492178.0,5458621.73
Theft from Vehicle,2016,12,19,18.0,10.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,12,22,22.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53
Theft from Vehicle,2016,6,13,2.0,43.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Other Theft,2016,6,10,16.0,15.0,10XX ROBSON ST,West End,490932.81,5459082.94
Other Theft,2016,3,10,12.0,2.0,10XX ROBSON ST,West End,490941.96,5459086.75
Other Theft,2016,3,10,12.0,9.0,10XX ROBSON ST,West End,490941.96,5459086.75
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,25,17.0,16.0,WOODLAND DR / E 3RD AVE,Grandview-Woodland,494649.0,5457231.0
Mischief,2016,4,19,0.0,23.0,3XX W HASTINGS ST,Central Business District,491990.8,5458915.39
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,5,20.0,54.0,WOODLAND DR / E 4TH AVE,Grandview-Woodland,494648.0,5457128.0
Theft from Vehicle,2016,4,4,19.0,45.0,1XX E 8TH AVE,Mount Pleasant,492558.94,5456782.64
Theft from Vehicle,2016,6,2,8.0,32.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Theft from Vehicle,2016,10,8,10.0,30.0,SEYMOUR ST / W CORDOVA ST,Central Business District,491865.7,5459181.01
Theft from Vehicle,2016,11,5,12.0,0.0,SEYMOUR ST / W CORDOVA ST,Central Business District,491865.7,5459181.01
Mischief,2016,10,28,1.0,58.0,3XX W HASTINGS ST,Central Business District,491997.46,5458895.73
Mischief,2016,7,21,2.0,34.0,3XX W HASTINGS ST,Central Business District,491996.04,5458897.16
Other Theft,2016,10,30,18.0,44.0,10XX HOMER ST,Central Business District,491158.64,5458193.14
Other Theft,2016,7,8,22.0,4.0,10XX HOMER ST,Central Business District,491167.09,5458201.76
Vehicle Collision or Pedestrian Struck (with Injury),2016,9,12,9.0,10.0,WOODLAND DR / GRANT ST,Grandview-Woodland,494657.0,5457634.0
Theft from Vehicle,2016,2,23,9.0,0.0,6XX RICHARDS ST,Central Business District,491603.59,5458785.56
Theft from Vehicle,2016,12,3,9.0,0.0,1XX E 8TH AVE,Mount Pleasant,492513.69,5456774.78
Theft from Vehicle,2016,11,20,11.0,0.0,1XX E 7TH AVE,Mount Pleasant,492632.11,5456880.12
Other Theft,2016,5,5,22.0,19.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Other Theft,2016,5,7,6.0,54.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Mischief,2016,3,29,12.0,52.0,5XX ABBOTT ST,Central Business District,492177.61,5458605.12
Theft from Vehicle,2016,5,22,14.0,58.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Mischief,2016,8,5,16.0,0.0,5X W 5TH AVE,Mount Pleasant,492307.46,5457093.49
Mischief,2016,7,30,21.0,8.0,4XX W WATERFRONT RD,Central Business District,492101.69,5459256.96
Other Theft,2016,5,11,20.0,56.0,23XX CAMBIE ST,Mount Pleasant,491656.42,5456901.55
Theft from Vehicle,2016,2,18,8.0,0.0,6XX RICHARDS ST,Central Business District,491603.59,5458785.56
Theft from Vehicle,2016,5,12,18.0,0.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Vehicle Collision or Pedestrian Struck (with Injury),2016,9,4,3.0,9.0,X BLOCK E PENDER ST,Central Business District,492434.0,5458642.0
Vehicle Collision or Pedestrian Struck (with Injury),2016,9,17,20.0,50.0,X BLOCK E PENDER ST,Central Business District,492434.0,5458642.0
Other Theft,2016,9,9,17.0,45.0,8XX GRANVILLE ST,Central Business District,491232.71,5458681.78
Theft of Bicycle,2016,10,14,17.0,0.0,11XX DAVIE ST,West End,490360.08,5458725.77
Other Theft,2016,4,18,13.0,45.0,8XX GRANVILLE ST,Central Business District,491232.71,5458681.78
Theft from Vehicle,2016,12,26,22.0,30.0,1XX E 6TH AVE,Mount Pleasant,492523.52,5456974.62
Mischief,2016,4,27,14.0,4.0,4XX W PENDER ST,Central Business District,491843.61,5458920.32
Break and Enter Residential/Other,2016,1,13,15.0,0.0,16XX E 41ST AVE,Kensington-Cedar Cottage,494785.04,5453323.96
Mischief,2016,7,28,11.0,26.0,4XX W PENDER ST,Central Business District,491842.48,5458921.52
Mischief,2016,4,9,2.0,42.0,4XX W PENDER ST,Central Business District,491842.48,5458921.52
